Year,Count
1860,2
1870,1
1871,1
1874,1
1876,4
1877,3
1878,2
1879,2
1880,7
1881,3
1882,3
1883,2
1884,8
1885,12
1886,12
1887,18
1888,24
1889,33
1890,49
1891,60
1892,92
1893,97
1894,94
1895,129
1896,206
1897,267
1898,446
1899,928
1900,1498
1901,498
1902,1010
1903,1173
1904,1307
1905,1420
1906,2885
1907,2444
1908,914
1909,572
1910,695
1911,821
1912,1116
1913,1039
1914,1379
1915,1637
1916,1464
1917,1788
1918,1923
1919,2167
1920,1908
1921,1396
1922,1055
1923,933
1924,1297
1925,91
1926,76
1927,77
1928,91
1929,96
1930,65
1931,68
1932,36
1933,24
1934,30
1935,33
1936,39
1937,44
1938,40
1939,43
1940,25
1941,26
1942,3
has_been,19731
never,51565
unknown,329
